name|institution|course_id|language
Driving business towards the Sustainable Development Goals|Erasmus University Rotterdam|sdgbusiness|English
The Sustainable Development Goals – A global, transdisciplinary vision for the future|University of Copenhagen|global-sustainable-development|English
Digital Transformation|BCG|bcg-uva-darden-digital-transformation|English
Sequence Models|DeepLearning.AI|nlp-sequence-models|Spanish
Devenir entrepreneur du changement|HEC Paris|entrepreneur-changement|French
Seeing Through Photographs|The Museum of Modern Art|photography|English
Entrepreneurship 1: Developing the Opportunity|University of Pennsylvania|wharton-entrepreneurship-opportunity|English
Introduction to Search Engine Optimization|University of California, Davis|search-engine-optimization|English
Learn to Speak Korean 1|Yonsei University|learn-speak-korean1|English
Circular Economy - Sustainable Materials Management|Delft University of Technology|circular-economy|English
Drug Development|University of California San Diego|drug-development|English
R Programming|Johns Hopkins University|r-programming|English
Economics of Money and Banking|Columbia University|money-banking|English
Chinese for Beginners|Peking University|learn-chinese|English
Grammar and Punctuation|University of California, Irvine|grammar-punctuation|English
Japanese for beginners 1|Saint Petersburg State University|japanese-1|English
Introduction to English Common Law|University of London|intro-common-law|English
Introduction to Dental Medicine|University of Pennsylvania|dental-medicine-penn|English
Fundamentals of Reinforcement Learning|Alberta Machine Intelligence Institute|fundamentals-of-reinforcement-learning|English
The Power of Macroeconomics: Economic Principles in the Real World|University of California, Irvine|principles-of-macroeconomics|English
Corporate Sustainability. Understanding and Seizing the Strategic Opportunity|Università Bocconi|corp-sustainability|English
Behavioral Finance|Duke University|duke-behavioral-finance|English
Sequences, Time Series and Prediction|DeepLearning.AI|tensorflow-sequences-time-series-and-prediction|English
Supply Chain Logistics|Rutgers the State University of New Jersey|supply-chain-logistics|English
Project Execution|University of California, Irvine|project-execution|English
Nutrición y obesidad: control de sobrepeso|Universidad Nacional Autónoma de México|nutricion-obesidad-sobrepeso|Spanish
Microeconomics Principles|University of Illinois at Urbana-Champaign|microeconomics|English
Creative Writing: The Craft of Plot|Wesleyan University|craft-of-plot|English
Astronomy: Exploring Time and Space|University of Arizona|astro|English
Oil & Gas Industry Operations and Markets|Duke University|oilandgas|English
Design Thinking for Innovation|University of Virginia|uva-darden-design-thinking-innovation|English
EDIVET: Do you have what it takes to be a veterinarian?|The University of Edinburgh|becoming-a-veterinarian|English
Learn to Program: The Fundamentals|University of Toronto|learn-to-program|English
Financial Accounting Fundamentals|University of Virginia|uva-darden-financial-accounting|English
Finding Purpose and Meaning In Life: Living for What Matters Most|University of Michigan|finding-purpose-and-meaning-in-life|English
Understanding Clinical Research: Behind the Statistics|University of Cape Town|clinical-research|English
Epidemiology: The Basic Science of Public Health|The University of North Carolina at Chapel Hill|epidemiology|English
Fashion as Design|The Museum of Modern Art|fashion-design|English
Teamwork Skills: Communicating Effectively in Groups|University of Colorado Boulder|teamwork-skills-effective-communication|English
Feminism and Social Justice|University of California, Santa Cruz|feminism-social-justice|English
International Organizations Management|University of Geneva|international-organizations-management|English
Marketing Digital|Universidade de São Paulo|estrategia-marketing-digital|English
Fundamentals of GIS|University of California, Davis|gis|English
e-Learning Ecologies: Innovative Approaches to Teaching and Learning for the Digital Age|University of Illinois at Urbana-Champaign|elearning|English
Excel/VBA for Creative Problem Solving, Part 1|University of Colorado Boulder|excel-vba-for-creative-problem-solving-part-1|English
Rethinking International Tax Law|Universiteit Leiden|international-taxation|English
